index,question,img_opt,A,B,C,D,Answer
49,"9. If cos−1x=y, then which of the following is correct?",,a) 0 ≤ y ≤ π,b) 0 < y < π,c) –π2≤y≤π2 ,d) –π2<y<π2 ,Answer: a
50,10. sin−1x is same as (sinx)−1.,,a) True,b) False,c) NONE,d) NONE,Answer: b
51,1. sin-1⁡x in terms of cos-1⁡is ____________,,a) cos-1⁡1+x2−−−−−√ ,b) cos-1⁡1−x2−−−−−√ ,c) cos-1⁡x,d) cos-11x ,Answer: b
52,2. What is sec-1⁡x in terms of tan-1⁡?,,a) tan-1⁡1+x2−−−−−√ ,b) tan-1⁡1+x2,c) tan-1⁡x,d) tan-1⁡x2−1−−−−−√ ,Answer: d
53,3. What is the value of cos⁡(tan-1⁡(45))?,,a) 54 ,b) 541√ ,c) 41√5 ,d) 45 ,Answer: b
54,4. What is the solution of cot⁡(sin-1⁡x)?,,a) 1−x2√x ,b) x,c) 1−x2−−−−−√ ,d) 1+x2−−−−−√ ,Answer: a
55,5. Which of the following formula is incorrect?,,a) sin-1⁡x+sin-1⁡y=sin-1⁡{x1−y2−−−−−√+y1−x2−−−−−√},b) sin-1⁡x-sin-1⁡y=sin-1⁡{x1+y2−−−−−√+y1+x2−−−−−√},c) 2 tan-1⁡x=tan-1⁡(2x1−x2) ,d) 2 cos-1⁡x=cos-1⁡(3x-4x3),Answer: b
56,6. Find the value of sin-1⁡(513)+cos-1⁡(35).,,a) sin-1⁡(6365),b) sin-1⁡1,c) 0,d) sin-1⁡(6465),Answer: a
57,7. Find the value of tan-1⁡(13)+tan-1⁡(15)+tan-1⁡(\frac{1}{7})[/latex] ,,a) tan-1⁡(47) ,b) tan-1⁡(97) ,c) tan-1⁡(79) ,d) tan-1⁡1,Answer: c
58,8. Find the value of sin-1⁡(\frac{3}{5})+sin-1⁡(\frac{4}{5})+cos-1⁡(\frac{\sqrt{3}}{2}).,,a) \frac{π}{3} ,b) \frac{2π}{3} ,c) \frac{4π}{3} ,d) \frac{π}{4} ,Answer: b
59,9. What is the value of 2 tan-1⁡x in terms of sin-1⁡?,,a) sec-1⁡x,b) 2 sec-1⁡x,c) 2 sec-1⁡(\sqrt{1+x^2}) ,d) sec-1⁡(\sqrt{1+x^2}) ,Answer: c
60,10. sin-1⁡x+cos1⁡x= ___,,a) \frac{π}{2} ,b) π,c) \frac{π}{3} ,d) 2π,Answer: a
61,"1. If the order of the matrix is m×n, then how many elements will there be in the matrix?",,a) mn,b) m2 n2,c) mn2,d) 2mn,Answer: a
62,2. Which of the following is a matrix of the order 2×2 where the equation of the elements is given by aij=i+j.,,a) A=[1111] ,b) A=[4451] ,c) A=[2334] ,d) A=[1122] ,Answer: c
63,3. What is the order of the matrix A=[3759]?,,a) 2×3,b) 2×2,c) 3×3,d) 4×4,Answer: b
64,4. The order of the matrix A=[145896] is 2×3.,,a) True,b) False,c) NONE,d) NONE,Answer: b
65,"5. In a matrix with 9 elements, then the possible ordered pairs are (3, 3), (1, 9), (9, 1).",,a) True,b) False,c) NONE,d) NONE,Answer: a
66,6.  Which of the following is not a possible ordered pair for a matrix with 6 elements.,,"a) (2,3)","b) (3,2)","c) (1,6)","d) (3,1)",Answer: d
67,7. Which of the following matrix is of the order 3×4.,,a) A=⎡⎣⎢334455⎤⎦⎥ ,b) A=[152739] ,c) A=⎡⎣⎢⎢⎢456752476671⎤⎦⎥⎥⎥ ,d) A=⎡⎣⎢146⎤⎦⎥ ,Answer: c
68,8. Consider the matrix A=⎡⎣⎢212468549⎤⎦⎥. Find the element a32.,,a) 5,b) 6,c) 4,d) 8,Answer: d
69,9. What is the order of the matrix A=⎡⎣⎢215392⎤⎦⎥?,,a) 2×3,b) 3×2,c) 2×2,d) 3×3,Answer: b
70,"10. Given a matrix A=⎡⎣⎢231396967⎤⎦⎥, which of the elements aij follows the condition i=j.",,"a) 9, 9, 1","b) 2, 9, 7","c) 2, 3, 9","d) 2, 3, 1",Answer: b
71,1. The matrix which follows the conditions m=n is called?,,a) Square matrix,b) Rectangular matrix,c) Scalar matrix,d) Diagonal matrix,Answer: a
72,2. Consider the matrix A=[412611910]. What is the type of matrix?,,a) Row matrix,b) Column matrix,c) Horizontal matrix,d) Vertical matrix,Answer: c
73,3. The matrix A=⎡⎣⎢41236⎤⎦⎥ is _____________,,a) row matrix,b) scalar matrix,c) horizontal matrix,d) column matrix,Answer: d
74,4. The matrix which follows the condition m>n is called as ____________,,a) vertical matrix,b) horizontal matrix,c) diagonal matrix,d) square matrix,Answer: a
75,"5. Find the value of a,b,c,d if [a+ba−bc2c+d]=[3126].",,"a) 3, 2, 1, 4","b) 3, 2, 1, 6","c) 2, 2, 2, 2","d) 2, 1, 2, 2",Answer: d
76,6. Which of the following is a diagonal matrix.,,a) A=⎡⎣⎢022201110⎤⎦⎥ ,b) A=⎡⎣⎢500150005⎤⎦⎥ ,c) A=⎡⎣⎢400050009⎤⎦⎥ ,d) A=⎡⎣⎢234234234⎤⎦⎥ ,Answer: c
77,7. State whether the given statement is true or false.,,The matrix A = [0000] ,a) True,b) False,c) NONE,d) NONE
78,8. Which of the following is a scalar matrix?,,a) A=⎡⎣⎢200020002⎤⎦⎥ ,b) A=⎡⎣⎢111111111⎤⎦⎥ ,c) A=⎡⎣⎢700020005⎤⎦⎥ ,d) A=⎡⎣⎢282114528⎤⎦⎥ ,Answer: a
79,9. Which of the following is not a type of matrix?,,a) Scalar matrix,b) Diagonal matrix,c) Symmetric matrix,d) Minor matrix,Answer: d
80,"10. Find  a,b,c,d if [ac+db+cb]=[332−1] are equal matrices.",,"a) 3, 0, 1, -1","b) 1,-3, 0, 3","c) 3, -1, 3, 0","d) 3, 3, -1, -1",Answer: c
81,1. The addition of matrices is only possible if they are of the same order.,,a) True,b) False,c) NONE,d) NONE,Answer: a
82,"2. If A = [19210311] and B = [055005], then find A+B.",,a) A+B = [111710316] ,b) A+B = [114711313] ,c) A+B = [114710316] ,d) A+B = [114510316] ,Answer: c
83,"3. If A = [3142]  and B = [1253], find 2A-3B.",,a) [3−475] ,b) [−3−4−7−5] ,c) [3−47−5] ,d) [3−4−7−5] ,Answer: d
84,4. If A+B = [6570]and A = [215−1]. Find the matrix B.,,a) B = [4214] ,b) B = [4421] ,c) B = [4412] ,d) B = [4442] ,Answer: b
85,"5. Find the matrix M and N, if M+N = [5768],M-N = [4658].",,"a) M=1/2 [9131116], N=1/2 [1110] ","b) M=[5768], N=[4856] ","c) M=1/2 [913216], N=1/2 [1215] ","d) M=1/2 [4152], N=1/2 [1122] ",Answer: a
86,6. Find the value of x and y if 2[5y−4x6]+[−4312]=[610314]?,,"a) x=-1, y=9","b) x=-1, y=-9","c) x=1, y=-9","d) x=1, y=9",Answer: d
87,7. Find AB if A = [1324] and B = [1352].,,a) AB = [159237] ,b) AB = [923715] ,c) AB = [715923] ,d) AB = [723915] ,Answer: c
88,8. Matrix addition and matrix multiplication both are commutative.,,a) True,b) False,c) NONE,d) NONE,Answer: b
89,9. Let A=⎡⎣⎢3−47−5−61225⎤⎦⎥. Find the additive inverse of A.,,a) ⎡⎣⎢−3−47561−225⎤⎦⎥ ,b) ⎡⎣⎢3−47−5−61225⎤⎦⎥ ,c) ⎡⎣⎢−34−756−1−2−2−5⎤⎦⎥ ,d) ⎡⎣⎢−3−4−756−12−25⎤⎦⎥ ,Answer: c
90,10. Which of the following condition is incorrect for matrix multiplication?,,a) A(BC)=(AB)C,b) A(B+C)=AB+AC,c) AB=0 if either A or B is 0,d) AB=BA,Answer: d
91,1. Which of the following is not the property of transpose of a matrix?,,a) (A’)’=A,b) (A+B)’=A’+B’,c) (AB)’=(BA)’,d) (kA)’=KA’,Answer: c
92,2. Find the transpose of A=[1−1−25].,,a) A=[−1−1−2−5] ,b) A=[1125] ,c) A=[−1−125] ,d) A=[1−2−15] ,Answer: d
93,"3. If A=⎡⎣⎢278⎤⎦⎥, B=[−341], find (AB)’.",,a) (AB)’=⎡⎣⎢−682−21287−24328⎤⎦⎥ ,b) (AB)’=⎡⎣⎢−6−21−248−2832278⎤⎦⎥ ,c) (AB)’=⎡⎣⎢6−8−221287247−8⎤⎦⎥ ,d) (AB)’=⎡⎣⎢−68−24828−2172⎤⎦⎥ ,Answer: a
94,4. If A’=[8624] and B’=[9753]. Find (A+2B)’.,,a) [26102012] ,b) [26201210] ,c) [26201012] ,d) [26122010] ,Answer: b
95,5. If A=[cosxsinx−sinx−cosx−cosxsinx]. Find A’A.,,a) ⎡⎣⎢100010001⎤⎦⎥ ,b) ⎡⎣⎢111000111⎤⎦⎥ ,c) ⎡⎣⎢101010101⎤⎦⎥ ,d) ⎡⎣⎢111011001⎤⎦⎥ ,Answer: d
96,6. Find the transpose of the matrix A=⎡⎣⎢−1−4−72583–√6–√−9⎤⎦⎥ ,,a) ⎡⎣⎢147−2−5−8−3–√−6–√9⎤⎦⎥ ,b) ⎡⎣⎢−123–√−456–√−78−9⎤⎦⎥ ,c) ⎡⎣⎢1−2−3–√4−5−6–√7−89⎤⎦⎥ ,d) ⎡⎣⎢1−21458729⎤⎦⎥ ,Answer: b
97,"7. If matrix A=\begin{bmatrix}4&1\\6&2\end{bmatrix}  and B=\begin{bmatrix}-1&3\\2&1\\6&6\end{bmatrix}, then find A’ B’.",,a) \begin{bmatrix}14&14\\5&4\\6&18\end{bmatrix} ,b) \begin{bmatrix}14&5\\14&4\\6&18\end{bmatrix} ,c) \begin{bmatrix}14&14&60\\5&4&18\end{bmatrix} ,d) \begin{bmatrix}14&14&18\\5&4&60\end{bmatrix} ,Answer: c
98,8. If P=\begin{bmatrix}-1&5\\8&3\end{bmatrix} and Q=\begin{bmatrix}4&2\\8&5\end{bmatrix}. Find (2P+3Q’)’.,,a) \begin{bmatrix}10&22\\34&21\end{bmatrix} ,b) \begin{bmatrix}10&21\\34&22\end{bmatrix} ,c) \begin{bmatrix}10&34\\22&21\end{bmatrix} ,d) \begin{bmatrix}10&22\\21&34\end{bmatrix} ,Answer: a
99,9. Which of the following is the reversal law of transposes?,,a) (A-B)’=B’-A’,b) (AB)’=B’A’,c) (AB)’=(BA)’,d) (A+B)’=B’+A’,Answer: b
100,"10. If A=\begin{bmatrix}i&1\\0&i\end{bmatrix}, then the correct relation is ___________",,a) A+A’=\begin{bmatrix}1&0\\-1&0\end{bmatrix} ,b) A-A’=\begin{bmatrix}1&0\\-1&0\end{bmatrix} ,c) A+A’=\begin{bmatrix}0&1\\-1&0\end{bmatrix} ,d) A-A’=\begin{bmatrix}0&1\\-1&0\end{bmatrix} ,Answer: d
101,1. The matrix A=\begin{bmatrix}1&2\\2&1\end{bmatrix}[1221] is a ____________,,a) symmetric matrix,b) skew-symmetric matrix,c) null matrix,d) diagonal matrix,Answer: a
102,2. Which of the following conditions holds true for a symmetric matrix?,,a) A=-A’,b) A=A’,c) A=IA,d) A=|A|,Answer: b
103,3. Which of the following conditions holds true for a skew-symmetric matrix?,,a) A=IA,b) A=|A| ,c) A=A’,d) A=-A’,Answer: a
104,4. Any square matrix can be expressed as a sum of symmetric and skew-symmetric matrix.,,a) True,b) False,c) NONE,d) NONE,Answer: a
105,5. The matrix A=\begin{bmatrix}0&1&-1\\-1&0&1\\1&-1&0\end{bmatrix}⎡⎣⎢0−1110−1−110⎤⎦⎥ is __________,,a) scalar matrix,b) identity matrix,c) symmetric matrix,d) skew-symmetric matrix,Answer: d
106,6. Which of the following matrices is both symmetric and skew symmetric?,,a) A=\begin{bmatrix}1&0\\1&0\end{bmatrix}[1100] ,b) A=\begin{bmatrix}0&0&0\\0&0&0\\0&0&0\end{bmatrix}⎡⎣⎢000000000⎤⎦⎥ ,c) A=\begin{bmatrix}1&0&1\\1&0&1\end{bmatrix}[110011] ,d) A=\begin{bmatrix}0&0&-2\\1&0&-1\\2&0&0\end{bmatrix}⎡⎣⎢012000−2−10⎤⎦⎥ ,Answer: b
107,7. The matrix A=\begin{bmatrix}0&1&1\\1&0&-1\\-1&1&0\end{bmatrix}⎡⎣⎢01−11011−10⎤⎦⎥ is symmetric.,,a) True,b) False,c) NONE,d) NONE,Answer: b
108,8. The matrix A=\begin{bmatrix}2&9\\2&6\end{bmatrix}[2296] as a sum of symmetric and skew-symmetric matrix is ______,,a)  \frac{1}{4} \begin{bmatrix}4&11\\11&12\end{bmatrix} – \frac{1}{2} \begin{bmatrix}0&7\\-7&0\end{bmatrix}14[4111112]–12[0−770] ,b)  \frac{1}{4} \begin{bmatrix}4&11\\11&12\end{bmatrix} + \frac{1}{2} \begin{bmatrix}0&7\\7&0\end{bmatrix}14[4111112]+12[0770] ,c)  \frac{1}{2} \begin{bmatrix}4&11\\11&12\end{bmatrix} + \frac{1}{2} \begin{bmatrix}0&7\\-7&0\end{bmatrix}12[4111112]+12[0−770] ,d)  \frac{1}{2} \begin{bmatrix}4&11\\11&12\end{bmatrix} – \frac{1}{2} \begin{bmatrix}0&7\\-7&0\end{bmatrix}12[4111112]–12[0−770] ,Answer: c
109,"9. If A=\begin{bmatrix}1&0\\0&1\end{bmatrix}[1001], then which of the following statement is incorrect?",,a) A is a skew-symmetric matrix,b) A is a square matrix,c) A is a symmetric,d) A is an identity matrix,Answer: a
110,"10. If A=\begin{bmatrix}a&b\\c&d\end{bmatrix}, then which of the following is skew-symmetric?",,a) AA’,b) A+A’,c) 2(A+A’),d) A-A’,Answer: c
111,1. Which among the following is inverse of the matrix A=[2531] ?,,a) [113513313−213] ,b) [−113513313−213] ,c) [−1131313−213] ,d) [−113513313−2] ,Answer: b
112,2. Which of the following matrices will not have an inverse?,,a) [2−141] ,b) ⎡⎣⎢161543222⎤⎦⎥ ,c) [1121] ,d) [132654] ,Answer: d
113,"3. If A and B are invertible matrices of the same order, then (AB)-1=B-1 A-1.",,a) True,b) False,c) NONE,d) NONE,Answer: a
114,4. A matrix A is invertible if it has all zeroes in one or more rows on L.H.S.,,a) True,b) False,c) NONE,d) NONE,Answer: b
115,5. The inverse of the matrix A=⎡⎣⎢153226442⎤⎦⎥ is,,a) ⎡⎣⎢⎢⎢−1414034014−181015−110⎤⎦⎥⎥⎥ ,b) ⎡⎣⎢⎢⎢−1414034014−180115−110⎤⎦⎥⎥⎥ ,c) ⎡⎣⎢⎢⎢−1414034014−180015−110⎤⎦⎥⎥⎥ ,d) ⎡⎣⎢⎢⎢−14140340−141800−15−110⎤⎦⎥⎥⎥ ,Answer: c
116,6. Which of the following is the inverse of the matrix A=[8112]?,,a) [215115−115815] ,b) [115−115−115115] ,c) [215−115−115815] ,d) [215115115415] ,Answer: c
117,7. Which among the below matrices has the inverse A-1=[10−5818] ,,a) [1058] ,b) [1−158] ,c) [10516] ,d) [1088] ,Answer: a
118,8. Find the inverse of matrix A=⎡⎣⎢545124362⎤⎦⎥ ,,a) ⎡⎣⎢⎢0−1130−110−16112140310−110⎤⎦⎥⎥ ,b) ⎡⎣⎢⎢13−1130−110−16112140310−110⎤⎦⎥⎥ ,c) ⎡⎣⎢⎢13−1130−110−161140310−110⎤⎦⎥⎥ ,d) ⎡⎣⎢⎢131130−11016112140310110⎤⎦⎥⎥ ,Answer: b
119,9. Which of the following is not a property of invertible matrices if A and B are matrices of the same order?,,a) (AB)-1=A-1 B-1,b) (AA-1)=(A-1 A)=I,c) (AB)-1=B-1 A-1,d) AB=BA=I,Answer: a
120,10. Find the inverse of A=[5431].,,a) [−174737−57] ,b) [−17473757] ,c) [−1747−37−57] ,d) [0473757] ,Answer: a
121,1. Evaluate ∣∣∣2−15−1∣∣∣.,,a) 3,b) -7,c) 5,d) -2,Answer: a
122,2. Evaluate ∣∣∣51−43–√∣∣∣.,,a) 43–√+4,b) 43–√+5,c) 53–√+4,d) 53–√-4,Answer: c
123,3. Evaluate ∣∣∣−sinθ1−1sinθ∣∣∣.,,a) cos2⁡θ,b) -cos2⁡θ,c) cos⁡2θ,d) cos⁡θ,Answer: a
124,4. Evaluate ∣∣∣i−1−1−i∣∣∣.,,a) 4,b) 3,c) 2,d) 0,Answer: d
125,5. Evaluate ∣∣∣∣13−1142−251∣∣∣∣.,,a) -6,b) -34,c) 34,d) 22,Answer: b
126,6. Evaluate ∣∣∣∣535446311∣∣∣∣.,,a) 4,b) -24,c) -8,d) 8,Answer: c
127,7. Evaluate ∣∣∣8x+1x2−12x−23x+5∣∣∣.,,a) -2x3-26x2+45x+3,b) -2x3+26x2+45x+3,c) -2x3+26x2+45x-3,d) -2x3-26x2-45x+3,Answer: b
128,"8. If A=⎡⎣⎢264518932⎤⎦⎥, find |A|.",,a) 352,b) 356,c) 325,d) 532,Answer: a
129,9. Evaluate ∣∣∣3–√−12–√23–√∣∣∣.,,a) 6-32–√ ,b) 6-2–√ ,c) 6+32–√ ,d) 6+2–√ ,Answer: d
130,10. Find the value of x if ∣∣∣32xx2∣∣∣=∣∣∣5332∣∣∣.,,"a) x=1, –13 ","b) x=-1, –13 ","c) x=1, 13 ","d) x=-1, 13 ",Answer: a
131,1. Which of the following is not a property of determinant?,,a) The value of determinant changes if all of its rows and columns are interchanged,b) The value of determinant changes if any two rows or columns are interchanged,c) The value of determinant is zero if any two rows and columns are identical,"d) The value of determinant gets multiplied by k, if each element of row or column is multiplied by k",Answer: a
132,2. Find the determinant of the matrix A=⎡⎣⎢111xx−x2y−yy2⎤⎦⎥.,,a) (x+1),b) -2xy(x+1),c) xy(x+1),d) 2xy(x+1),Answer: b
133,3. Evaluate ∣∣∣∣x2xx2x3yx3x4zx4∣∣∣∣.,,a) 0,b) 1,c) xyz,d) x2 yz3,Answer: a
134,4. Evaluate ∣∣∣∣cosθsin2θsinθ−cosθcos2θ−sinθ111∣∣∣∣.,,a) sin⁡θ+cos2⁡θ,b) -sin⁡θ-cos2⁡⁡θ,c) -sin⁡θ+cos2⁡⁡θ,d) sin⁡θ-cos2⁡⁡θ,Answer: d
135,5. Evaluate ∣∣∣∣b−caabc−abcca−b∣∣∣∣.,,a) 2abc,b) 2a{(b-c)(c-a+b)},c) 2b{(a-c)(a+b+c)},d) 2c{(b-c)(a-c+b)},Answer: b
136,"6. If A=[1231], then ________",,a) |2A|=4|A|,b) |2A|=2|A|,c) |A|=2|A|,d) |A|=|4A|,Answer: a
137,7. Evaluate ∣∣∣∣−a−2a+4xxb2b−4y−yc2c+4zz∣∣∣∣.,,a) 0,b) abc,c) 2abc,d) -1,Answer: a
138,8. Find the determinant of A=⎡⎣⎢c2ababcba2bcca−ac−b2⎤⎦⎥ ,,a) abc(a3+b3+c3+abc),b) abc(a3+b3+c3-abc),c) abc(a3+b3+c3+abc),d) (a3-b3+c3-abc),Answer: b
139,9. Evaluate ∣∣∣∣1+mmnn1+nmqq1+q∣∣∣∣.,,a) -1(1+m+n+q),b) 1+m+n+q,c) 1+2q,d) 1+q,Answer: a
140,10. Evaluate ∣∣∣∣46781214121821∣∣∣∣.,,a) 168,b) -1,c) -168,d) 0,Answer: d
141,1. What is the value of ∣∣∣∣−bcab+bcbc+caca+ab−cabc+caca+abab+bc−ab∣∣∣∣ ?,,a) Σab,b) (Σab)2,c) (Σab)3,d) (Σab)4,Answer: c
142,"2. If the system of equation 2x + 5y + 8z = 0, x + 4y + 7z = 0, 6x + 9y – αz = 0 has a non trivial solution then what is the value of α?",,a) -12,b) 0,c) 12,d) 2,Answer: c
143,"3. What is the value of x if, ∣∣∣∣x3636x6x3∣∣∣∣ = ∣∣∣∣2x7x7272x∣∣∣∣ = ∣∣∣∣45x5x4x46∣∣∣∣?",,a) 9,b) -9,c) 0,d) Can’t be predicted,Answer: b
144,"4. Which one of the following is correct if a, b and c are the sides of a triangle ABC and ∣∣∣∣∣a2(a+1)2(a–1)2b2(b+1)2(b–1)2c2(c+1)2(c–1)2∣∣∣∣∣ ?",,a) ABC is an equilateral triangle,b) ABC is an isosceles triangle,c) ABC is a right angled triangle,d) ABC is a scalene triangle,Answer: b
145,5. What is the value of k if ∣∣∣∣y+zyzxz+xzxyx+y∣∣∣∣ ?,,a) 4,b) -4,c) 1,d) 0,Answer: a
